"#","Subject Code","Subject","Subject Type","Present","OD","Makeup","Absent","Percentage"
"1","CSUL401","Database Management System","Lecture","6","0","0","7","46.15"
"2","CSUL402","Theory of Computation","Lecture","11","0","0","1","91.67"
"3","CSUL403","Computer Networks","Lecture","8","0","0","3","72.73"
"4","CSUL404","Artificial Intelligence","Lecture","2","0","0","5","28.57"
"5","CSUL405","Computer Architecture and Microprocessor","Lecture","6","0","0","2","75.00"
"6","CSUP420","Database Systems Lab","Lab","12","0","0","0","100.00"
"7","CSUP421","Network Programming Lab","Lab","12","0","0","0","100.00"
"8","CSUP422","Microprocessor Lab","Lab","12","0","0","0","100.00"
"9","CSUP423","Data Analytics and Visualization Lab","Lab","15","0","0","0","100.00"
"10","HSUL402","Technical Communication","Lecture","3","0","0","1","75.00"
"11","MAUL402","Discrete Mathematics and Linear Algebra","Lecture","9","0","0","3","75.00"
"12","NU99.4","Technical Training","Lab","3","0","0","2","60.00"